,Company,Job Title,Job Type,Experience level,Salary,keywords,Facilities,Is Remote,Updated Job Title
0,sgs,clinical data analyst,full time,entry,48.0,"computer science,data quality,genetics,mathematics,sas,statistics",none,False,data analyst
1,ocorian,aml/cft & data analyst,full time,entry,48.0,"agile,data management,finance,security",none,False,data analyst
2,cricut,machine learning engineer,full time,none,90.0,"agile,architecture,aws,computer science,computer vision,deep learning",career development,False,ml engineer
3,bosch group,application developer & data analyst,full time,entry,48.0,"engineering,industrial,oracle,power bi,r,r&d",none,False,data analyst
4,publicis groupe,data engineer full time (public sector) usa,full time,mid,108.0,"aws,azure,computer science,consulting,dataflow,data pipelines","flex hours,flex vacation,parental leave,unlimited paid time off",False,data engineer
5,servicenow,sr staff data scientist - atg,full time,senior,184.0,"computer science,deep learning,industrial,machine learning,nlp,numpy","401(k) matching,career development,competitive pay,equity,flex hours",False,data scientist
6,natixis in portugal,vendor management and data quality lead,full time,entry,39.0,"banking,data quality,excel,security",gear,False,other
7,nielseniq,intern (business intelligence service support),internship,entry,0.0,"business intelligence,excel,genetics",none,False,bi analyst
8,western digital,summer 2023 data engineering intern,internship,entry,0.0,"big data,computer science,engineering,machine learning,mathematics,matlab","career development,competitive pay,equity,flex vacation,health care",False,data engineer
9,palo alto networks,principal cloud data engineer (prisma access),full time,senior,140.0,"agile,apis,aws,azure,big data,computer science","career development,medical leave,salary bonus,startup environment",False,data engineer
10,cern,data scientist (te-crg-glo-2023-19-grap),full time,entry,40.0,"computer science,data analysis,deep learning,keras,machine learning,phd","career development,health care,medical leave",False,data scientist
11,nielseniq,data analyst - revenue optimizer,full time,none,80.0,"business analytics,business intelligence,data management,economics,engineering,genetics","career development,startup environment",False,data analyst
12,yougov,graduate power bi developer,full time,entry,35.0,"data analytics,excel,finance,market research,power bi,privacy",career development,False,bi analyst
13,bosch group,sap consultant - product data management,full time,senior,62.0,"data management,engineering,r,spark",flex hours,False,data engineer
14,bosch group,premaster programm - data analytics and visualization,full time,entry,39.0,"bigquery,data analytics,llms,pandas,python",team events,False,data analyst
15,servicenow,staff data scientist - atg,full time,senior,159.0,"computer science,deep learning,industrial,machine learning,nlp,numpy","401(k) matching,career development,competitive pay,equity,flex hours",False,data scientist
16,playstation global,machine learning engineer,full time,senior,97.0,"aws,cuda,docker,git,github,gitlab","career development,competitive pay,health care,salary bonus",False,ml engineer
17,canva,senior data analyst - sales,full time,senior,92.0,"bigquery,excel,finance,python,r,redshift","flex hours,flex vacation,home office stipend,parental leave,startup environment",False,data analyst
18,issuu,bi analyst,full time,none,48.0,"business analytics,business intelligence,data warehouse,looker,python,r","competitive pay,equity,health care,insurance",False,bi analyst
19,deepl,"data scientist | insights (f/m/d) - ger, uk, nl, pl",full time,senior,129.0,"agile,data visualization,economics,machine learning,mathematics,metabase",career development,True,data scientist
20,printify,senior data analyst (remote within emea),full time,senior,92.0,"architecture,data analysis,data analytics,data quality,data visualization,e-commerce","career development,equity,fitness / gym,home office stipend,relocation support",False,data analyst
21,visa,senior data engineer (evergreen),full time,senior,115.0,"agile,airflow,clustering,computer science,data governance,data mining","career development,flex hours",False,data engineer
22,talan,data management scrum master,full time,entry,39.0,"agile,azure,big data,blockchain,databricks,data management",none,False,data engineer
23,bosch group,rotational development program - artificial intelligence and machine learning trainee,full time,entry,44.0,"airflow,apis,architecture,azure,clustering,computer science","career development,team events",False,ml engineer
24,ex2 outcoding,data engineer scientist,full time,mid,73.0,"computer science,data mining,engineering,python,sql,statistics",none,True,data engineer
25,cgg,data scientist (elasticsearch),full time,entry,40.0,"agile,ci/cd,computer vision,data quality,data visualization,deep learning","career development,flex hours,health care",False,data scientist
26,rca,data engineer f/h,full time,entry,59.0,"airflow,architecture,aws,data warehouse,devops,etl",none,False,data engineer
